Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
"NCTN: A Phase III Trial of Every-3-Weeks Paclitaxel Versus Dose Dense Weekly Paclitaxel in Combination With Carboplatin With or Without Concurrent and Consolidation Bevacizumab (NSC #704865) in the Treatment of Primary Stage II, III or IV Epithelial Ovari",phs004398.v1.p1,Grace Mishkin,NCI DAC,,Bahar Sayoldin,Completed by GPA
Genomics of therapy Related MDS and AML,phs004400.v1.p1,Nathaniel Boyd,NCI DAC,,Gad Getz,Completed by GPA
Multi-omic Analysis of Acute Myeloid Leukemia Clonal Evolution,phs004401.v1.p1,Justin Benavidez,NCI DAC,,Linde Miles,Completed by GPA
Analysis of longitudinally and non-longitudinally collected high grade serous ovarian carcinoma (HGSOC) tumors and model tumors.,phs004404.v1.p1,Freddie Pruitt,NCI DAC,,Sanaz Memarzadeh,Completed by GPA
Niraparib in Pancreatic Cancer,phs004405.v1.p1,Joseph Flores-Toro,NCI DAC,,James Cleary,Completed by GPA
"NCTN: Phase III Double Blind, Placebo Controlled Study of Donepezil in the Irradiated Brain",phs004407.v1.p1,Grace Mishkin,NCI DAC,,Bahar Sayoldin,Completed by GPA
Multiregion biopsies and corresponding neurosphere cultures reveal spatial divergence in glioblastoma,phs004410.v1.p1,Freddie Pruitt,NCI DAC,,Michalina Janiszewska,Completed by GPA
Germline EGFR T790M and Lung Cancer Risk,phs004412.v1.p1,Freddie Pruitt,NCI DAC,,Jaclyn Lopiccolo,Completed by GPA
Identifying senescence and immune biomarkers predictive of benefit to combined CDK4 and checkpoint blockade inhibition in patients with dedifferentiated liposarcoma,phs004414.v1.p1,Eileen Resnick,NCI DAC,,Sandra D'Angelo,Completed by GPA
"Protocol EA4231, �A Phase II Study of Venetoclax, Ibrutinib, Prednisone, Obinutuzumab, and Revlimid (ViPOR) in Relapsed or Refractory CD10-Negative Diffuse-Large B-Cell Lymphoma (DLBCL) and High-Grade B-Cell Lymphoma with MYC and BCL2 rearrangements (HGBC",phs004418.v1.p1,Freddie Pruitt,NCI DAC,Yes,Christopher Melani,Completed by GPA
Single-cell eQTL and multiome profiling of normal lung tissues for functional characterization of lung cancer risk-associated genomic loci,phs004420.v1.p1,Geoffrey Tobias,NCI DAC,,Jiyeon Choi,Completed by GPA
Genetic Mutations and Cis-Regulatory Features Underlying Albinism,phs004422.v1.p1,Sharna Tingle,NHGRI,,David Adams,Completed by GPA
SMARCA4 Loss in STK11/KEAP1 Co-Mutant Lung Adenocarcinoma,phs004424.v1.p1,Freddie Pruitt,NCI DAC,,Charles Rudin,Completed by GPA
Harnessing DNA Methylation in Peripheral Blood for Improved Colorectal Cancer Prevention - CIDR,phs004426.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Mingyang Song,Completed by GPA
Center for Common Disease Genomics (CCDG)-Neuropsychiatric: Introduction of exome/genome sequencing,phs004430.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Completed by GPA
scRNAseq Analysis of Osteosarcoma Reveals Conserved and Distinct Ecosystems Across Sites and Species,phs004431.v1.p1,Justin Benavidez,NCI DAC,,Ryan Roberts,Completed by GPA
"Correlative studies in Protocol #A151804, which studies immune-related adverse events in patients treated with immuno-oncology therapeutics, including studies in collaboration with CIMAC-CIDC",phs004434.v1.p1,Freddie Pruitt,NCI DAC,Yes,David Kozono,Completed by GPA
Define the role of chromosome 17q gain in neuroblastoma malignancy,phs004436.v1.p1,Justin Benavidez,NCI DAC,,Miller Huang,Completed by GPA
Molecular markers of risk of subsequent invasive breast cancer in women with ductal carcinoma in situ,phs004440.v1.p1,Claire Zhu,NCI DAC,,Thomas Rohan,Completed by GPA
Translational Genomics in Cervical Cancer,phs004441.v1.p1,Eileen Resnick,NCI DAC,,Jin Zhang,Completed by GPA
Single cell immune profiling of longitudinal bone marrow aspirates,phs004445.v1.p1,Freddie Pruitt,NCI DAC,,Omar Abdel-Wahab,Completed by GPA
International Cancer Proteogenome Consortium (ICPC): Proteogenomics of East-Asian Gastric Cancer,phs004447.v1.p1,Sean Hanlon,NCI DAC,,Hsuan-Yu Chen,Completed by GPA
GECCO GxE Interaction Substudy,phs004448.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Ulrike Peters,Completed by GPA
"Biospy Analysis of SWOG S1607, �A Phase II Study of Combining Talimogene Laherparepvec (T-VEC) (NSC-785349) and MK-3475 (pembrolizumab) (NSC-776864) in Patients with Advanced Melanoma Who Have Progressed on Anti-PD1/L1 Based Therapy� plastic Melanoma (DM)",phs004451.v1.p1,Nathaniel Boyd,NCI DAC,,Michael Wu,Completed by GPA
HRDetect in Tubo-ovarian Carcinoma: Stratification and Therapeutic Implications,phs004452.v1.p1,Nathaniel Boyd,NCI DAC,,Elizabeth Swisher,Completed by GPA
Prenatal treatment of Down syndrome to improve brain development and neurocognition,phs004455.v1.p1,Sharna Tingle,NHGRI,,Diana Bianchi,Completed by GPA
"Correlative studies in Protocol EA6174, which studies pembrolizumab in patients with Merkel cell carcinoma, including studies in collaboration with CIMAC-CIDC",phs004456.v1.p1,Freddie Pruitt,NCI DAC,Yes,Janice Mehnert,Completed by GPA
Genetics of growth rates in induced pluripotent stem cells,phs004457.v1.p1,Sharna Tingle,NHGRI,,Michael Erdos,Completed by GPA
Lineage heterogeneity and plasticity in lung cancer,phs004458.v1.p1,Justin Benavidez,NCI DAC,,Hideo Watanabe,Completed by GPA
Germ Cell Tumor Epidemiology Study (GaMETES),phs004461.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Jenny Poynter,Completed by GPA
Personalized DNA and peptide vaccines elicit neoantigen-driven T-cell responses in pancreatic cancer,phs004463.v1.p1,Eileen Resnick,NCI DAC,,David Denardo,Completed by GPA
CDK2 inhibition demonstrates RB-independent efficacy in CDK4/6 inhibitor-resistant HR-positive/HER2-negative breast cancer,phs004466.v1.p1,Freddie Pruitt,NCI DAC,,Ioannis Sanidas,Completed by GPA
Mutational profile analysis in patient-derived neuroendocrine tumor models,phs004469.v1.p1,Abid Al Reza,NCI DAC,,Samira Sadowski,Completed by GPA
Evaluation of the effects of endocrine therapy and abemaciclib on host and tumor immune cell repertoire/function in advanced ER+/HER2- breast cancer,phs004470.v1.p1,Freddie Pruitt,NCI DAC,,Rani Bansal,Completed by GPA
Efficacy of the ATR inhibitor ceralasertib in patients with ARID1A-deficient gynecologic and other solid tumor malignancies,phs004471.v1.p1,Freddie Pruitt,NCI DAC,,Rahul Aggarwal,Completed by GPA
Epidemiologic Study of Hepatocellular Carcinoma in the US,,Emilie Charlisse Caga-Anan,,,Herbert Yu,Awaiting GPA's Approval
TMZ Microdialysis,,Kathleen Calzone,,,,Awaiting GPA's Approval
Tissue Procurement and Natural History Study of Neurendocrine Neoplasms (NENs) including Adenocortical Carcinoma (ACC),,Kathleen Calzone,,,Jaydira Del Rivero,Awaiting GPA's Approval
Transcriptomic profiling of metastatic adrenocortical carcinoma (ACC) tumors,,Kathleen Calzone,,,Jaydira Del Rivero,Awaiting GPA's Approval
Cancer Target Discovery and Development Network: Validation of Biomarkers in Prostate Cancer,,Freddie Pruitt,NCI DAC,,Carlos Moreno,Awaiting GPA's Approval
Clinical and Genetic Studies of Li-Fraumeni Syndrome,,Geoffrey Tobias,NCI DAC,,Sharon Savage,Awaiting GPA's Approval
Role of the Cohesin complex in normal and malignant hematopoiesis,,Mariam Eljanne,NCI DAC,,Aaron Viny,Awaiting GPA's Approval
"Intergroup Randomized Phase III Study of Postoperative Oxaliplatin, 5-Fluorouracil and Leucovorin vs Oxaliplatin, 5-Fluorouracil, Leucovorin and Bevacizumab for Patients With Stage II or III Rectal Cancer Receiving Pre-operative Chemoradiation",,Grace Mishkin,NCI DAC,,Bahar Sayoldin,Awaiting GPA's Approval
Mechanisms of Ethnic/Racial Differences in Lung Cancer Due to Cigarette Smoking; Project 1 - Ethnic Differences in Smoking-Related Biomarkers and Risk of Lung Cancer,,Emilie Charlisse Caga-Anan,NCI DAC,,Stephen Hecht,Awaiting GPA's Approval
Genetics of MRSA Infection,,Sharna Tingle,NHGRI,,Richard Wilson,Completed by GPA
Next Generation Mendelian Genetics: Hypoplastic Left Heart Syndrome,,Sharna Tingle,NHGRI,,Deborah Nickerson,Completed by GPA
Next Generation Mendelian Genetics: Dementia,,Sharna Tingle,NHGRI,,Wendy Raskind,Completed by GPA
Next Generation Mendelian Genetics: Autoimmune Lymphoproliferative Syndrome (ALPS),,Sharna Tingle,NHGRI,,Michael Lenardo,Completed by GPA
Next Generation Mendelian Genetics: Nager syndrome,,Sharna Tingle,NHGRI,,Michael Bamshad,Completed by GPA
Next Generation Mendelian Genetics: Distal Arthrogryposis 5,,Sharna Tingle,NHGRI,,Michael Bamshad,Completed by GPA
Endometrial Somatic Tumor-Specific Mutations,,Sharna Tingle,NHGRI,Yes,Daphne Bell,Completed by GPA
Danish Cohort of Prenatal de novo Chromosomal Rearrangements,,Sharna Tingle,NHGRI,,Niels Tommerup,Completed by GPA
Test_Study,,Sharna Tingle,NHGRI,,,Completed by GPA
Personalized Oncology Through Integrative High-Throughput Sequencing: A Pilot Study,,Emilie Charlisse Caga-Anan,NCI DAC,,Arul Chinnaiyan,Completed by GPA
Genomic analysis of adolescent and young adult acute lymphoblastic leukemia,,Emilie Charlisse Caga-Anan,NCI DAC,,Charles Mullighan,Completed by GPA
ESRRA-C11orf20 is a Recurrent Gene Fusion in Serous Ovarian Carcinoma,,Emilie Charlisse Caga-Anan,NCI DAC,,Patrick Brown,Completed by GPA
Disease 2020: Large-Scale Sequencing and Analysis Center Initiated Projects/Baylor College of Medicine: ARIC,,Sharna Tingle,NHGRI,,Richard Gibbs,Completed by GPA
Therapeutic Resistance to PI3K-alpha Inhibitors,,Emilie Charlisse Caga-Anan,NCI DAC,,Dejan Juric,Completed by GPA
Exome Sequencing of Clear Cell Endometrial Tumors and Paired Non-Tumor Samples,,Sharna Tingle,NHGRI,,Daphne Bell,Completed by GPA
Clinical and Basic Investigations into Known and Suspected Congenital Disorders of Glycosylation,,Sharna Tingle,NHGRI,,Christina Lam,Completed by GPA
Genome-Wide Association Study of Colorectal Cancer in Japanese and African Americans,,Emilie Charlisse Caga-Anan,NCI DAC,,Loic Le Marchand,Completed by GPA
Molecular Profiling-based Assignment of Cancer Therapy for Patients with Advanced Solid Tumors (MPACT),,Kathleen Calzone,NCI DAC,,Alice Chen,Completed by GPA
"Dietary Sulfur, the Gut Microbiome and Colorectal Cancer",,Ian Fingerman,NCI DAC,,Andrew Chan,Completed by GPA
Patient-derived models of pancreatic cancer,,Emilie Charlisse Caga-Anan,NCI DAC,,Agnieszka Witkiewicz,Completed by GPA
Colon Cancer Family Registry Illumina GWAS,,Emilie Charlisse Caga-Anan,NCI DAC,,Graham Casey,Completed by GPA
BRE0776 - Genomic Profiling of ER+ Breast Cancers after Short Term Letrozole,,Freddie Pruitt,NCI DAC,,Ingrid Mayer,Completed by GPA
The FUSION Monogenic Diabetes Study - MODY and Autosomal Dominant Diabetes,,Sharna Tingle,NHGRI,,Lan Cho Bonnycastle,Completed by GPA
POB�MEN2�Natural�History�Study,,Kathleen Calzone,NCI DAC,,John Glod,Completed by GPA
Colon cancer and the intratumor microbial and immune microenvironment,,Grace Mishkin,NCI DAC,,Anton Bilchik,Completed by GPA
Single Cell RNA-Seq Analysis of Tumors,,Sharna Tingle,NHGRI,,Aviv Regev,Completed by GPA
Atlas of tRNA Expression and Modification,,Sharna Tingle,NHGRI,,Todd Lowe,Completed by GPA
The Microbiome and Anal Cancer Pathogenesis in HIV-infected Men who have Sex with Men,,Emilie Charlisse Caga-Anan,NCI DAC,,Joel Palefsky,Completed by GPA
A Portal and Integrative Collaborative Platform for GTEx,,Sharna Tingle,NHGRI,,Kristin Ardlie,Completed by GPA
High Throughput Single Molecule Approaches for Phased Genome Sequence Assembly,,Sharna Tingle,NHGRI,,Pui-Yan Kwok,Completed by GPA
COLON MAP: Colon Molecular Atlas Project,,Natalie Abrams,NCI DAC,,Robert Coffey,Completed by GPA
Discovery and validation of early molecular breast cancer risk markers in benign breast disease,,Natalie Abrams,NCI DAC,,Christopher Umbricht,Completed by GPA
PCA Breast Pre-Cancer Atlas Center,,Natalie Abrams,NCI DAC,,Eun-Sil Shelley Hwang,Completed by GPA
Precancer Atlas of Familial Adenomatous Polyposis,,Natalie Abrams,NCI DAC,,Michael Snyder,Completed by GPA
Genomics and Mechanisms of Esophageal Carcinogenesis,,Claire Zhu,NCI DAC,,Antonia Sepulveda,Completed by GPA
"Progenitor cell malfunction, mutations and changes in microenvironment: A dynamic risk spectrum for cancer evolution",,Claire Zhu,NCI DAC,,Moumita Ghosh,Completed by GPA
Evaluating the protective effect of a tissue selective estrogen complex (TSEC) in women with newly diagnosed ductal carcinoma in situ,,Claire Zhu,NCI DAC,,"Swati Kulkarni,",Completed by GPA
Studies of the initiation and progression of small cell lung cancer using cells derived by differentiation from human pluripotent stem cells,,Claire Zhu,,,Harold Varmus,Completed by GPA
Development of 5hmC and 5mC biomarkers in cell-free circulating DNA for sensitive colon cancer detection and prognosis,,Claire Zhu,NCI DAC,,Bruce Bissonnette,Completed by GPA
Gene-Gene Interactions and Their Functional Roles in Prostate Cancer Aggressiveness,,Emilie Charlisse Caga-Anan,NCI DAC,,Hui-Yi Lin,Completed by GPA
Expanding the Encyclopedia of DNA Elements (ENCODE) in the Human and Mouse,,Sharna Tingle,,,Michael Snyder,Completed by GPA
Genetics of Mammographic Density in Latinas,,Mariam Eljanne,NCI DAC,,Elad Ziv,Completed by GPA
Infiltrative and drug-resistant slow-cycling cells support metabolic heterogeneity in glioblastoma,,Ian Fingerman,NCI DAC,,Loic Deleyrolle,Completed by GPA
Germline variant in SLCO2B1 and response to abiraterone acetate plus prednisone (AA) in new onset metastatic castration-resistant prostate cancer (mCRPC),,Freddie Pruitt,NCI DAC,,Lisa Albright,Completed by GPA
The Lung PCA: A Multi-Dimensional Atlas of Pulmonary Premalignancy,,Natalie Abrams,NCI DAC,,Avrum Spira,Completed by GPA
Scalable and Accurate Polygenic Risk Profiling with Low-pass Whole Genome Sequencing,,Sharna Tingle,,,Pickrell Joseph,Completed by GPA
Rigorous and reproducible mutational analysis of the urinary exosomal DNA,,Natalie Abrams,NCI DAC,,Raghu Kalluri,Completed by GPA
Targeted Therapy in Ex Vivo Medulloblastoma/PNET,,Freddie Pruitt,NCI DAC,,James Olson,Completed by GPA
Exosomal Biomarkers for the Noninvasive Detection of Colorectal Cancer,,Natalie Abrams,NCI DAC,,Ajay Goel,Completed by GPA
"Colorectal cancer risk factors, risk predication and blood-based biomarker by tumor consensus molecular subtype",,Claire Zhu,NCI DAC,,Jennifer Davis,Completed by GPA
"Extending the Diversity, Reach and Generalizability of the WISDOM Study",,Claire Zhu,NCI DAC,,Laura Esserman,Completed by GPA
Novel temporal and spatial patterns of metastatic colonization from breast cancer rapid-autopsy tumor biopsies,,Ian Fingerman,NCI DAC,,Gabor Marth,Completed by GPA
Developmental Genotype-Tissue Expression Project (dGTEx),,Sharna Tingle,NHGRI,Yes,Nenad Sestan,Completed by GPA
Center for Live Cell Genomics,,Sharna Tingle,NHGRI,Yes,David Haussler,Completed by GPA
A Scalable Kit-Based Assay for Multi-Omic Analyses of Transcrptional Protein Binding and Chromatin Interactions from Ultra-low Input Frozen and FFPE Samples at Single-Cell Resolution,,Sharna Tingle,NHGRI,,Anthony Schmitt,Completed by GPA
ImplementatioN Science for Genomic Health Translation (INSIGHT),,Sharna Tingle,NHGRI,,Eric Boerwinkle,Completed by GPA
Cell Pooling Framework for Deciphering the Regulatory Wiring of Allergy in Pathophysiological Contexts,,Sharna Tingle,NHGRI,,Maya Kasowski,Completed by GPA
"A Foundational Resource of Functional Elements, TF Footprints, and Gene Regulatory Interactions",,Sharna Tingle,NHGRI,Yes,Jason Buenrostro,Completed by GPA
"Understanding Racial Disparity in Endometrial Cancer through Tumor Genomics"", ""Tumor Methylomics Analysis Link with Racial Disparities in Ovarian Cancer"" and ""The Northwestern University Cancer Health Equity Research SPORE Biobank & Database (NU-CHERS)""",,Anil Wali,NCI DAC,,Melissa Simon,Completed by GPA
Single cell genome variation induced by mutational processes in cancer - HGSOC Trios Study,,Ying Huang,NCI DAC,,Sohrab Shah,Completed by GPA
Single Cell Transcriptomics of Adult Recurrent Respiratory Papillomatosis,,Kathleen Calzone,NCI DAC,,Clint Allen,Completed by GPA
Liquid Biopsy for Rapid Detection and Real Time Monitoring of FGFR-Altered Cancer,,Freddie Pruitt,NCI DAC,,Sameek Roychowdhury,Completed by GPA
Kids First: The Genetic Basis of Structural Pediatric Epilepsies,,Marcia Fournier,Kids First DAC,Yes,Ingo Helbig,Completed by GPA
"Multi-Omics at the Intersections of Environment, Diabetes, and Kidney Disease: A Multi-Omics for Health and Disease Study Site",,Sharna Tingle,NHGRI,Yes,Tanika Kelly,Completed by GPA
Germline profiles of non-caucasian early onset colorectal cancer,,Freddie Pruitt,NCI DAC,,Jason Willis,Completed by GPA
Comparison of human serous cavity resident macrophages and dendritic cells to their murine counterparts,,Reed Shabman,NIAID,,Gwendalyn Randolph,Completed by GPA
Multi-platform analysis of matched well- and dedifferentiated tumors identify novel drivers of liposarcomagenesis,,Freddie Pruitt,NCI DAC,,Aimee Crago,Completed by GPA
Total RNA-seq of Human Tumor Cell Lines and Associated Extracellular Vesicles,,Abid Al Reza,NCI DAC,,Jennifer Jones,Completed by GPA
ADHD Genetic Study at NHGRI,,Sharna Tingle,NHGRI,,Maria Acosta,Completed by GPA
Single-cell RNA sequencing in silent corticotroph tumors confirms impaired POMC processing and provides new insights into their invasive behavior,,Justin Benavidez,NCI DAC,,Anthony Heaney,Completed by GPA
Single-cell and spatial transcriptomic study of newly diagnosed HPV-related oropharyngeal cancer,,Kathleen Calzone,NCI DAC,,Clint Allen,Completed by GPA
Carver Genomic Research Center (CGRC)-Building Next Generation Genomic Data Scientist in Rural Alabama,,Sharna Tingle,NHGRI,Yes,Deepa Bedi,Completed by GPA
FIU-Diversity Center for Genomic Research (FIU-DCGR),,Sharna Tingle,NHGRI,Yes,Xuexia Wang,Completed by GPA
CALGB 40903 (Alliance): Analysis of Genomic Alterations Associated with Response to Aromatase Inhibitor Therapy for ER-positive Postmenopausal Ductal Carcinoma in Situ (DCIS),,Grace Mishkin,NCI DAC,,Eun-Sil Shelley Hwang,Completed by GPA
Deciphering Determinants of Somatic Evolution with Single-Cell Genealogy,,Sharna Tingle,NHGRI,,Chen Weng,Completed by GPA
Novel Cell Line Models of AITL,,Kathleen Calzone,NCI DAC,,Samuel Ng,Completed by GPA
NCTN: Risk-Based Treatment for Non-Rhabdomyosarcoma Soft Tissue Sarcomas (NRSTS) in Patients Under 30 Years of Age,,Edward Ramos,NCI DAC,,Bahar Sayoldin,Completed by GPA
NCTN: Randomized Phase II 2 x 2 Factorial Trial of the Addition of Carboplatin +/- Bevacizumab to Neoadjuvant Weekly Paclitaxel Followed by Dose-Dense AC in Hormone Receptor-Poor/HER2-Negative Resectable Breast Cancer,,Grace Mishkin,NCI DAC,,Bahar Sayoldin,Completed by GPA
Childhood Cancer Data Initiative (CCDI): Metastatic Osteosarcoma snMultiome Profiling,,Kathleen Calzone,NCI DAC,,Troy McEachron,Completed by GPA
"NCTN: Intensive Multi-Agent Therapy, Including Dose-Compressed Cycles of Ifosfamide/Etoposide (IE) and Vincristine/Doxorubicin/Cyclophosphamide (VDC) for Patients With High-Risk Rhabdomyosarcoma",,Grace Mishkin,NCI DAC,,Bahar Sayoldin,Completed by GPA
Defined cellular reprogramming of androgen receptor-active prostate cancer to neuroendocrine prostate cancer,,Justin Benavidez,,,John Lee,Completed by GPA
BRCAness Revisited: A Novel Whole Genome Sequencing Approach Validated in a Pan-Cancer,,Freddie Pruitt,NCI DAC,,Juan Mosquera,Completed by GPA
MEDUSA: Maintaining Entire DNA Duplexes for Utmost Sequencing Accuracy,,Freddie Pruitt,NCI DAC,,Viktor Adalsteinsson,Completed by GPA
MEASURE (Hourigan Lab Sequencing),,Hiromi Ono,NHLBI,,Christopher Hourigan,Completed by GPA
Genome-Wide Association Study of Hematotoxicity Among Chinese Workers Exposed to Benzene,,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Incomplete
Network Analysis Identifies Mitochondrial Regulation of Epidermal Differentiation by MPZL3 and FDXR,,Asur Srinath,,,Paul Khavari,Incomplete
Genetic Susceptibility to Obesity after Treatment for Childhood Leukemia,,Geoffrey Tobias,NCI DAC,,Lindsay Morton,Incomplete
TEST,,Sharna Tingle,NHGRI,,,Incomplete
Commericialization of HaploSeq as a Service (HaaS) for Generating Chromosome-span Phased Genome and Exome Sequence Information,,Sharna Tingle,NHGRI,,Siddarth Selvaraj,Incomplete
Pre-cancer atlases of cutaneous and hematologic origin (PATCH Center),,Natalie Abrams,NCI DAC,,Peter Karl Sorger,Incomplete
Molecular mechanisms of SCLC initiation and detection in mice and humans,,Claire Zhu,,,Mark Krasnow,Incomplete
The Boston Lung Cancer Survival Cohort,,Emilie Charlisse Caga-Anan,,,David Christiani,Incomplete
Molecular Classification of High Grade Endometrial Cancers: Extending TCGA Findings to a Diverse Pop,,Emilie Charlisse Caga-Anan,,,Michele Cote,Incomplete
(PQ3) Immune epigenetic biomarkers of bladder cancer outcomes,,Emilie Charlisse Caga-Anan,,,Brock Christensen,Incomplete
Immune epigenetic biomarkers of survival in glioma epidemiology,,Emilie Charlisse Caga-Anan,NCI DAC,,John Wiencke,Incomplete
Comprehensive characterization of prostate stromal gene expression and association with lethal prostate cancer,,Emilie Charlisse Caga-Anan,,,Brenda Birmann,Incomplete
Research Into Visual Endpoints and RB Health Outcomes After Treatment: The RIVERBOAT Consortium,,Emilie Charlisse Caga-Anan,,,Debra Friedman,Incomplete
Molecular and clinical evaluation of the glioma patient experience to anticipate modern outcomes and guide patient care,,Emilie Charlisse Caga-Anan,,,Laila Poisson,Incomplete
Oral Microbiome and Lung Cancer Risk,,Emilie Charlisse Caga-Anan,,,Qiuyin Cai,Incomplete
"Colorectal cancer risk loci: GWAS, fine-mapping, and functional analysis",,Emilie Charlisse Caga-Anan,,,Wei Zheng,Incomplete
Identifying causal variants and genes underlying breast cancer risk loci,,Emilie Charlisse Caga-Anan,,,Matthew Freedman,Incomplete
Epidemiology and biology of lncRNAs in ovarian cancer,,Emilie Charlisse Caga-Anan,,,Peter Kanetsky,Incomplete
Genomic and Transcriptomic Analysis of Breast and Ovarian Cancers,,Emilie Charlisse Caga-Anan,,,Joellen Schildkraut,Incomplete
Determinants of pancreatic cancer and malignant melanoma phenotypes in CDKN2A hereditary kindreds,,Emilie Charlisse Caga-Anan,,,Gloria Petersen,Incomplete
Genomic Prediction of Doxorubicin-Induced Cardiotoxicity,,Emilie Charlisse Caga-Anan,,,Paul Burridge,Incomplete
Next Generation of HPV and Cervical Cancer Research in HIV+ Women,,Emilie Charlisse Caga-Anan,NCI DAC,,Howard Strickler,Incomplete
Mentoring and Research in Cancer Stem Cells,,Mariam Eljanne,,,William Matsui,Incomplete
The Role of Inflammation in the Racial Disparities in Ovarian Cancer Survival,,Mariam Eljanne,,,Lauren Peres,Incomplete
Single cell epigenomics in cancer immunity and immunotherapy,,Mariam Eljanne,,,Ansuman Satpathy,Incomplete
Noninvasive Risk Stratification of Prostate Cancer Using Cell-Free Nucleic Acids,,Mariam Eljanne,,,Wei Gu,Incomplete
The role of neutrophils in pancreatic cancer pre-metastatic and metastatic niche formation,,Mariam Eljanne,,,Samer Hanna,Incomplete
"Social Environmental Factors, DNA methylation, and breast cancer survival among African American women: a bio-socially integrated approach",,Mariam Eljanne,,,Jesse Plascak,Incomplete
Epigenomic and transcriptomic markers of aggressive prostate cancer among African American men,,Mariam Eljanne,,,Kathryn Barry,Incomplete
Role of ATM Germline Mutations in Clonal Hematopoiesis of Indeterminate Potential,,Mariam Eljanne,,,Thomas Slavin,Incomplete
TEST TEST,,Michael Feolo,,,,Incomplete
"A Phase I Single-Arm Study of the Combination of Durvalumab (MEDI4736) and Vicinium (oportuzumab monatox, VB4-845) in Subjects with High-Grade Non-Muscle-Invasive Bladder Cancer Previously Treated with BCG",,Kathleen Calzone,,,Piyush Agarwal,Incomplete
Care of the Urothelial Cancer Patient and Prospective Collection of Biospecimens from Healthy Volunteers and Urothelial Cancer Patients,,Kathleen Calzone,,,Piyush Agarwal,Incomplete
Vaccine and BCG for Bladder Cancer,,Kathleen Calzone,,,Piyush Agarwal,Incomplete
MB-100 + Abrx in PDA,,Kathleen Calzone,,,Christine Alewine,Incomplete
Bay/Bev Phase II,,Kathleen Calzone,,,Christina Annunziata,Incomplete
Phase I Trial of Dasatinib+Bev,,Kathleen Calzone,,,Christina Annunziata,Incomplete
Metformin in Li-Fraumeni,,Kathleen Calzone,,,Christina Annunziata,Incomplete
Tissue Acquisition and Genomics Analysis of Breast and Other Gynecologic Malignancies,,Kathleen Calzone,,,Christina Annunziata,Incomplete
"A Phase 1 Study of Intraperitoneal MCY-M11 Therapy for Women with Platinum Resistant High Grade Serous Adenocarcinoma of the Ovary, Primary Preitoneum, or Fallopian Tube, or Subjects with Peritoneal Mesothelioma with Recurrence After Prior Chemotherapy",,Kathleen Calzone,,,Christina Annunziata,Incomplete
"A Phase 1/2, Multicenter, Single-Arm, Open-Label, Dose-Escalation Study of Birinapant in Combination with Pembrolizumab (KEYTRUDA) with Relapsed or Refractory Solid Tumors",,Kathleen Calzone,,,Christina Annunziata,Incomplete
COXEN,,Kathleen Calzone,,,Andrea Apolo,Incomplete
Lenalidomide in solid tumors,,Kathleen Calzone,,,Andrea Apolo,Incomplete
Phase 2 cabazitaxel in UC,,Kathleen Calzone,,,Andrea Apolo,Incomplete
A Phase 1 Study of Cabozantinib plus Nivolumab (CaboNivo) Alone or in Combination with Ipilimumab (CaboNivoIpi) in Patients with Advanced/Metastatic Urothelial Carcinoma and other Genitourinary Tumors,,Kathleen Calzone,,,Andrea Apolo,Incomplete
XL184 in Urothelial Carcinoma,,Kathleen Calzone,,,Andrea Apolo,Incomplete
Ph 3 Adj Pembro in Bladder Ca,,Kathleen Calzone,,,Andrea Apolo,Incomplete
A Phase II Study of Olaparib in Patients with Metastatic/Advanced Urothelial Carcinoma with DNA-Repair Defects,,Kathleen Calzone,,,Andrea Apolo,Incomplete
Exploring Outcomes and Risk in Patients with Rare Central Nervous System Tumors,,Kathleen Calzone,,,Terri Armstrong,Incomplete
MSB0010718C in Merkel Cell Ca,,Kathleen Calzone,,,Isaac Brownell,Incomplete
Histopath of Merkel cell CA,,Kathleen Calzone,,,Isaac Brownell,Incomplete
Merkel Cell Specimens,,Kathleen Calzone,,,Isaac Brownell,Incomplete
Exploring the Genomic Landscape of Inducible Pluripotent Stem Cells from Racially Diverse Donors,,Kathleen Calzone,,,Jung Shin Byun,Incomplete
Lymphoma Profiling,,Kathleen Calzone,,,Katherine Calvo,Incomplete
COLL PERIPH BLOOD-URINE,,Kathleen Calzone,,,Kevin Camphausen,Incomplete
Longitudinal Sample Collection and Tracking for the Developmental Therapeutics Clinic,,Kathleen Calzone,,,Alice Chen,Incomplete
NCI MATCH,,Kathleen Calzone,,,Alice Chen,Incomplete
Ph II ABT-888 Cyclophosphamide,,Kathleen Calzone,,,Alice Chen,Incomplete
Ph I/II TRC102 Temozolomide,,Kathleen Calzone,,,Alice Chen,Incomplete
PhII Vorinostat ACC,,Kathleen Calzone,,,Alice Chen,Incomplete
PhII PF-03084014 Desmoids,,Kathleen Calzone,,,Alice Chen,Incomplete
PhII Cediranib Sunitinib/ASPS,,Kathleen Calzone,,,Alice Chen,Incomplete
Ph II AZD2171 in ASPS,,Kathleen Calzone,,,Alice Chen,Incomplete
Phase I Z-Endoxifen,,Kathleen Calzone,,,Alice Chen,Incomplete
