dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
Gut Microbiome and Types of Colorectal Polyps,Colorectal cancer is a heterogeneous disease arising from at least two precursors-the conventional adenoma and the serrated polyp. This dataset was used to test the relationship of the gut microbiota  to specific colorectal polyp types. We included samples from two independent study populations based at colonoscopy clinics: the Centers for Disease,phs001381.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001381,"Jiyoung Ahn, PhD",Claire Zhu,Division of Cancer Prevention (DCP),28038683,R21CA183887,2018-06-15,GRU,AMPLICON,Cross-Sectional,Colonic Polyps,667.0,667.0,,,Adenomatous Polyps,Adenomatous Polyps
Development of Precision Neoadjuvant-Adjuvant Therapies,"In clinical trials assessing neoadjuvant androgen deprivation therapy plus next-generation androgen receptor axis inhibitors, a subset of patients fail to demonstrate a complete pathologic response following treatment and radical prostatectomy.  We performed exome and transcriptome analyses on laser capture microdissected foci of residual tumor from these patients. Patients with residual",phs001399.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001399,Steven Balk;Mary-Ellen Taplin;Adam Sowalsky,Kathleen Calzone,Center for Cancer Research (CCR),25311217;29921690,PC150635P1;PC150635P2;PC150635P3;P50 CA090381;P01 CA163227;COU-AA-201;ZIA BC011679,2018-05-31,DS-CA-NPU,WXS,Case Set,Prostatic Neoplasms,19.0,69.0,,,"Receptors, Androgen;Abiraterone Acetate","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
GECCO: Detecting Common and Rare Genetic Loci and GxE Interactions in    Colorectal Cancer,"COLON, Colorectal Cancer: Longitudinal Observational study on Nutritional and lifestyle factors that influence colorectal tumor recurrence, survival and quality of life: The COLON study is a multi-center prospective cohort study  to assess the role of diet and other lifestyle factors in cancer recurrence and survival among incident colorectal cancer patients in the",phs001315.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001315,"Ulrike Peters, PhD, MPH;Ellen Kampman, PhD;Franzel van Duijnhoven, PhD;Brenner Hermann, MD, PMH;Jenny Chang-Claude, PhD;Michael Hoffmeister, PhD;Marc J. Gunter, PhD;Andrew T. Chan, MD, MPH;Andrew T. Chan, MD, PMH;Edith Feskens, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),23266556,"X01 HG007585-01, U01 CA164930;HHSN268201200008I, NIH contract High throughput genotyping for studying the genetic contributions to human disease",2018-05-23,DS-CC-PUB-NPU;HMB-PUB;GRU;DS-CC-NPU-GSO;NRUP,Imputation_SNP;Array_SNP,Case-Control;Cohort;Nested Case-Control,Colorectal Neoplasms,8803.0,9101.0,,,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
Genetics of Pigmentation in Eastern and Southern African Populations    Study,"The goal of this study was to identify genes and loci associated with pigmentation in African populations. It comprises 1,593 participants from Ethiopia, Tanzania, and Botswana. Sexes are evenly represented  (768 males and 825 females) and self reported ages ranged from 18 to 103. Mean age was used for individuals without ages. For each participant, a DSM",phs001396.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001396,"Sarah Tishkoff, PhD",Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),29025994,1R01DK104339-01;1R01GM113657-01,2018-05-15,GRU-NPU,Seq_DNA_SNP;WGS;Array_SNP,Cohort,Skin Pigmentation,1573.0,1573.0,,DDB1;OCA2;HERC2;TMEM138;MFSD12;SLC24A5,Age Factors;Sex,Not Provided
Detection of Genes Predisposing to Hematologic Malignancies,"We have been conducting genetic studies on families at high risk of different hematologic malignancies, in order to define the related tumors in the families, define precursor and other related  conditions, and map and identify susceptibility genes. We have focused mainly on four types of lymphoid malignancies: chronic lymphocytic leukemia",phs001219.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001219,"Neil E. Caporaso, MD",Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),25939664;26721895;27365461,National Cancer Institute Intramural,2018-05-10,DS-CA-MDS,WXS,Family,"Leukemia, Lymphocytic, Chronic, B-Cell",475.0,475.0,https://clinicalstudies.info.nih.gov/cgi/wais/bold032001.pl?A_02-C-0210.html,,"Hodgkin Disease;Lymphoma, Non-Hodgkin;Waldenstrom Macroglobulinemia;Leukemia, Hairy Cell;Leukemia, Myeloid, Acute;Leukemia, Myelomonocytic, Juvenile","Hodgkin Disease; Leukemia, Hairy Cell; Leukemia, Myelomonocytic, Juvenile; Lymphoma, Non-Hodgkin; Waldenstrom Macroglobulinemia; CHL"
OncoArray: Prostate Cancer,"Original description of the study: From ELLIPSE (linked to the PRACTICAL consortium), we contributed 78,000 SNPs to the OncoArray. A large fraction of the content was derived from the GWAS  meta-analyses in European ancestry populations (overall and aggressive disease; 27K SNPs). We also selected just over 10,000 SNPs from the",phs001391.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001391,Christopher Haiman,Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),33398198,"U19 CA148537;HHSN268201200008I, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease""",2018-03-21,DS-CA-NPU;GRU-NPU;PC-RITPC;DS-CA-PUB;DS-CA-MDS-GSO;PC-MDS-NOCTRL;DS-PC-MDS-GSO;DS-CA;HMB-NPU;DS-BCEMOPCA-NPU-MDS;HMB;DS-CHDSAD-MDS;DS-PC-PUB-MDS;DS-PCP;CADM;CHRONIC;EPIMEDCA;HMB-PUB-NPU;GRU-IRB;DS-PC;HMB-PUB;DS-CA-NPU-GSO;DS-CA-MDS;GRU;MHNSI-MDS;DS-PC-MDS,Array_SNP,Case-Control,Prostatic Neoplasms,99622.0,99622.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
Whole Exome Sequencing of Signet Ring/Plasmacytoid Variant Bladder Cancer,"In this study, six plasmacytoid bladder cancers were analyzed by whole exome sequencing. The results show loss of the CDH1 gene in every sample and correlate with E-cadherin loss of  expression by immunohistochemistry. A separate validation cohort of plasmacytoid samples showed loss of E-cadherin expression by CDH1 mutation or",phs001064.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001064,"David Solit, MD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),24582117;20019984;7585573,P30CA008748,2018-03-12,DS-BLADDERCA,WXS;Seq_DNA_SNP_MAF_Sum,Cohort,"Carcinoma, Signet Ring Cell",6.0,12.0,,CDH1,Urinary Bladder Neoplasms,Urinary Bladder Neoplasms; Signet Ring Cell Adenocarcinoma; Signet Ring Cell Carcinoma; Signet cell adenocarcinoma; Signet ring carcinoma; Signet-Ring Cell Carcinoma
Metastatic Castrate-Resistant Prostate Cancer Study (MCRPCS),"We examined genetic resistance to second generation androgen targeting therapies (abiraterone acetate or enzalutamide) by analyzing whole exome sequencing of patient-matched pre-treatment and post-resistance tumors from a series of castrate-resistant  prostate cancer (CRPC) patients. Abiraterone resistant tumors harbored alterations in AR and MYC, whereas patients treated with enzalutamide had",phs001447.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001447,Eliezer M. Van Allen;Mary-Ellen Taplin,Mariam Eljanne,Center for Cancer Training (CCT),,,2018-03-07,DS-CA-MDS;DS-PC-MDS,WXS,Cohort,Prostatic Neoplasms,7.0,21.0,,AR;CDK6;CDKN2A;MYC,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
Defining the Triple Negative Breast Cancer Kinome Response to GSK1120212,"In this study the investigators looked at adaptive reprogramming impact on the kinome when a MEK inhibitor called GSK1120212 (trametinib) was administered in a ""window of opportunity"" trial. GSK1120212 is  not yet approved by the FDA for use in breast cancer patients. The investigators gave GSK1120212 for a short period of time (one week) to examine MEK",phs001405.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001405,"Lisa A. Carey, MD;Shelton Earp, MD;Kristalyn Gallagher, DO",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),28108460;28287892;22500798;22310242;24664307;25109955,IIR12-225201;Supplied trametinib;GM101141;CA058223,2018-03-07,HMB-PUB-MDS,RNA-Seq,Clinical Trial,Triple Negative Breast Neoplasms,12.0,28.0,,,Breast Neoplasms;Neoplasms;Neoplasms by Site;Breast Diseases;Skin Diseases;trametinib;Antineoplastic Agents;Protein Kinase Inhibitors;Enzyme Inhibitors;Molecular Mechanisms of Pharmacological Action,"Breast Diseases; Molecular Mechanisms of Pharmacological Action; Neoplasms by Site; Skin Diseases; Breast Disease, Endocrine; Breast Diseases, Endocrine"
Gene Expression and Histone Modification Profiles in GBM Tumors,"The primary goal of this study was to collect and analyze genomic data from primary glioblastoma multiforme tumors. Our collaborators at St David's Medical Center (SDMC) obtained informed consent from  patients undergoing surgery to remove a tumor in the brain. After consent was obtained, specimens were removed from the operating suite and flash",phs001389.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001389,"Vishwanath R. Iyer, PhD",Ian Fingerman,Division of Cancer Biology (DCB),,HG004563;CA130075;RP120194,2018-03-06,HMB,RNA-Seq;ChIP-Seq,Case Set,Glioblastoma,13.0,109.0,,,Astrocytoma;Neoplasms,ASTROCYTOMA; Astrocytic Glioma; Astrocytic Gliomas; Astrocytic Neoplasm; Astrocytoma (excluding glioblastoma); Astrocytomas
High Response Rate to Anti PD-1 Therapy in Desmoplastic Melanoma,"Desmoplastic melanoma (DM) is a rare subtype of melanoma characterized by dense fibrous stroma, resistance to chemotherapy and a lack of actionable driver mutations, but is highly associated with ultraviolet  light DNA damage. We analysed 60 patients with advanced DM treated with programmed cell death 1 (PD-1) or PD-1 ligand (PD-L1) blocking antibody",phs001469.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001469,"Antoni Ribas, MD, PhD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),29320474,R35 CA197633;P01 CA168585;5P50CA168536;GM08042,2018-03-01,HMB-PUB-NPU-MDS,WXS;Seq_DNA_SNP_MAF_Ind,Cohort,Immunotherapy,17.0,34.0,,,Melanoma,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma; Melanoma, Malignant"
Sequence-Based Analysis of Human Breast Tumors,"The goal of this study is to study gene expression patterns in tumors, normal tissues, and cell lines. Principal Investigator: Charles Perou, PhD, Lineberger Comprehensive Cancer Center, University of North  Carolina at Chapel Hill,Chapel Hill, NC, USA Funding Source: P50-CA058223, P50-CA058223",phs000676.v2.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000676,"Charles Perou, PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),23000897,P50-CA058223,2018-02-28,DS-CA-MDS;GRU-MDS,RNA-Seq;WXS,Tumor vs. Matched-Normal;RNA Sequencing,Breast Neoplasms,28.0,232.0,,,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer
Differential Mutations in Matched Primary and Metastatic Colorectal    Cancers,"This study compares DNA mutations detected in matched primary and metastatic colorectal cancer samples from 18 individuals across 1,321 genes. We found many more mutations were shared between tumor pairs  (avg. 33.3 mutations/tumor) than were discordant (avg. 2.3 mutations / tumor). Nearly all tumors showed at least one discordance, and these were",phs001084.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001084,Timothy Yeatman,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),25974029,U01CA157960,2018-02-20,GRU,Targeted-Capture,Case Set;Metastasis;Tumor,Colorectal Neoplasms,18.0,38.0,,KRAS;TP53,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
Whole Exome Sequencing and Methylation Profiling of Uveal Melanoma,"Uveal melanoma (UM) is the most common primary cancer of the eye and frequently leads to metastatic death. Metastatic risk can be stratified into low, intermediate and high based on  the presence of mutually exclusive mutations in EIF1AX, SF3B1 and BAP1, respectively. The purpose of this study was to comprehensively profile the",phs001421.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001421,JW Harbour,Shannon Hughes,Division of Cancer Biology (DCB),,"R01 CA125970;R01 CA161870;F30 CA206430;Research to Prevent Blindness, Inc. Senior Scientific Investigator Award;Melanoma Research Foundation;Melanoma Research Alliance;Ocular Melanoma Foundation;The 2015 RRF/Kayser Global Pan-American Award;The Alcon Research Institute;AACR-Ocular Melanoma Foundation Fellowship in honor of Robert C. Allen, MD;NIH Core Grant P30EY014801;Department of Defense Grant #W81XWH-13-1-0048;Research to Prevent Blindness Unrestricted Grant;Generous gift from Dr. Mark J. Daily",2018-01-25,HMB-PUB,Array_DNA_Methylation;WXS,Cohort,Uveal melanoma,37.0,64.0,,EIF1AX;BAP1;SF3B1,Exome;Methylation,Methylation
NCI SEER Formalin Fixed Paraffin Embedded (FFPE) Tissue Feasibility Study,"Next Generation Sequencing (NGS) technologies are being used for detection of somatic mutations in tumors and studies of germline variation. However, most NGS studies used DNA isolated either from whole  blood or fresh frozen tissue specimens. Meanwhile, the tissue specimens available from most National Cancer Institute (NCI) funded cohorts and the",phs000950.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000950,"Wendy Cozen, DO, MPH;Brenda Hernandez, PhD, MPH;Charles F. Lynch, MD, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),16084952;26222067,Division of Cancer Control and Population Sciences,2018-01-04,HMB-MDS;GRU,RNA-Seq;Seq_DNA_SNP;WXS,Case Set,Neoplasms,59.0,129.0,http://seer.cancer.gov/biospecimen/,,Ovarian Neoplasms;Adenocarcinoma,"Adenocarcinoma; ADNOS; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant; Malignant Adenoma"
Ancestry Admixture among Chileans,"The purpose of this study is to investigate ancestry admixture among Chileans with and without gallbladder cancer. All cases from the Chile Gallbladder Cancer Pilot and Expansion studies with available  genotype data. Principal Investigator: Jill Koshiol, PhD, National Institutes of Health, Bethesda, MD, USA Funding Source: Z01 CP010218, National",phs001385.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001385,"Jill Koshiol, PhD",Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),28542165,Z01 CP010218,2017-12-28,GRU,Array_SNP,Case-Control,Gallbladder Neoplasms,189.0,204.0,,,,"Bladder Cancer, Gall; Bladder Cancers, Gall; Cancer of Gallbladder; Cancer of the Gallbladder; Cancer, Gall Bladder; Cancer, Gallbladder"
Genetic Analysis to Interrogate Tumor Heterogeneity in Lung    Adenocarcinoma,"We employed next-generation sequencing to identify somatic alterations in multiple metastatic sites from an ""exceptional responder"" lung adenocarcinoma patient during his seven year course of ERBB2-directed therapies. The degree of  heterogeneity was unprecedented, with 1% similarity between somatic alterations of the lung and lymph nodes. One novel translocation, PLAG1-ACTA2,",phs001159.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001159,"Udayan Guha, MD, PhD",Kathleen Calzone,Center for Cancer Research (CCR),,,2017-12-12,HMB-IRB-PUB,WXS;Seq_DNA_SNP_CNV;WGS,Case Set,Adenocarcinoma of Lung,1.0,4.0,,ACTA2;ERBB2;PLAG1;TP53;CDK12,Adenocarcinoma of Lung,"ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung; Adenocarcinoma, Lung; Adenocarcinomas, Lung; Lung Adenocarcinoma"
WES and CNV analysis of NF1-Associated Plexiform Neurofibromas,"Neurofibromatosis type 1 (NF1) is a common tumor-predisposition disorder due to germline mutations in the tumor suppressor gene NF1. A virtually pathognomonic finding of NF1 is the plexiform neurofibroma (PN),  a benign, likely congenital tumor that arises from biallelic inactivation of NF1. PN can undergo transformation to a malignant peripheral nerve",phs001403.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001403,"Douglas Stewart, MD",Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),28068329,"National Institutes of Health, Bethesda, MD, USA",2017-11-30,GRU,WXS;Array_SNP,Case-Control,Neurofibromatosis 1,21.0,44.0,,NF1,,"Neurofibromatosis Type I; Molluscum Fibrosum; Multiple non-ossifying fibromatosis; NEUROFIBROMATOSIS TYPE 1; NEUROFIBROMATOSIS, PERIPHERAL TYPE; NEUROFIBROMATOSIS, TYPE I"
Clonal Architectures and Driver Mutations in Metastatic Melanomas,"This study contains sequence data from 15 patients with stage IV melanoma, including the whole genome sequence of 15 metastatic tumors and corresponding normal blood samples from 13 cases, and  targeted capture sequence of four synchronous metastatic samples from two additional cases. These data provide a comprehensive survey of the clonal",phs001241.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001241,"Jeffrey S. Weber, MD, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),25393105,"Donald A. Adam Comprehensive Melanoma Research Center, Moffitt Cancer Center, Tampa, Florida, USA;Our Mark on Melanoma Inc. Foundation;Come Out Swinging Inc. Foundation",2017-11-20,GRU-MDS,WXS;WGS,Case Set,Melanoma,15.0,36.0,,,,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas"
Shanghai Breast Cancer Genetics Study (SBCGS),"The Shanghai Breast Cancer Genetics Study (SBCGS) includes data from four population-based studies conducted among Chinese women in urban Shanghai: the Shanghai Breast Cancer Study (SBCS), the Shanghai Breast Cancer  Survival Study (SBCSS), the Shanghai Women's Health Study (SWHS), and the Shanghai Endometrial Cancer Study (SECS, contributing controls only).",phs001088.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001088,"Wei Zheng, MD, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),10861490;16236996,R01CA064277;R01CA118229;R37CA070867;UM1CA182910;U19CA148065;Ingram Professorship endowment and Anne Potter Wilson Chair endowment,2017-11-14,HMB-PUB-NPU,Array_SNP,Case-Control,Breast Neoplasms,2392.0,2392.0,,,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer
Sub-Saharan Sophageal Squamous Cell Carcinoma Molecular Analysis,"Esophageal squamous cell carcinoma (ESCC) occurs as much as 20x more frequently in sub-Saharan Africa than Western countries. Through the UNC-Malawi project collaboration we obtained whole-exome matched tumor/normal and RNA  sequencing of 59 ESCC from Malawi between 2011-2012. DNA analysis revealed similar mutations as other cohorts, while RNA analysis revealed three",phs001448.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001448,Ned Sharpless,Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),22374539;27734031,P30CA01608641,2017-10-27,DS-E-C,RNA-Seq;WXS,Cohort,Esophageal Neoplasms,59.0,177.0,,,"Carcinoma, Squamous Cell;High-Throughput Nucleotide Sequencing","Esophageal Neoplasm; Carcinoma, Epidermoid; Carcinoma, Planocellular; Carcinoma, Squamous; Carcinoma, Squamous Cell; Carcinomas, Epidermoid"
GWAS of Sporadic and Familial Testicular Germ Cell Tumors,"Case-Control Study: Testicular germ cell cancer has been increasing among men during most of the 20th century. Despite this increase, the etiology of testicular cancer is poorly understood. To better  understand the molecular epidemiology of testicular cancer, the National Cancer Institute and the Department of Defense are conducting a case-control",phs001303.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001303,Katherine McGlynn;Mark H. Greene,Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),23666239;23462292;24943593;1285161;16407372;18086791;18841155;19549888;19162511;21617256;25303766;26265202;17110638,NIH Intramural Program,2017-10-26,DS-TGCT-COL-MDS;GRU,Array_SNP,Case-Control;Family,Germinoma,1509.0,1556.0,https://dceg.cancer.gov/research/cancer-types/testes/familial-testicular-cancer-study,RAD51C;UCK2;MAD1L1;PPM1E;HPGDS;RFWD3;TEX14,,
Mutational Landscape of Lethal Castrate Resistant Prostate Cancer,"Exome sequencing of matched pairs of tumor / normal genomic DNA was performed from high risk localized prostate cancer or lethal, metastatic, castrate resistant prostate cancer (CRPC). Exome libraries were  prepared using Illumina Paired_End Genome DNA Sample Prep Kit and captured using Agilent SureSelect Capture Library or Roche EZ Exome capture",phs000554.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000554,"Arul M. Chinnaiyan, MD, PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),22722839,P50CA69568,2017-10-17,DS-CA-MDS,WXS,Tumor vs. Matched-Normal,Prostatic Neoplasms,59.0,120.0,,,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
Genomic Analysis of Pre-Treatment and Autopsy Glioblastoma Specimens,"We performed whole exome sequencing data of pre-treatment glioblastoma specimens, matched to post-treatment recurrent intracranial autopsy samples and metastatic extracranial post-treatment autopsy samples. We identified early genetic events common to  the evolutionary ancestry of both pre-treatment glioblastoma and later recurrences. We demonstrated that there were no protein-coding mutations as",phs001424.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001424,Priscilla Brastianos;Tracy Batchelor;Gad Getz;Daniel Cahill,Ian Fingerman,Division of Cancer Biology (DCB),29872714,,2017-10-13,DS-NDC-MDS,WXS,Longitudinal,Glioblastoma,12.0,36.0,,,,"Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme"
Foregut Microbiome in Development of Esophageal Adenocarcinoma,"The distal esophagus is an important anatomical area where gastric acid reflux can cause reflux esophagitis (RE), Barrett's esophagus (BE) (intestinal metaplasia), and esophageal adenocarcinoma (EA). The incidence of EA  has increased 6-fold in the U.S. since the 1970s, parallel to a significant increase in the prevalence of gastroesophageal reflux diseases (GERD).",phs000260.v4.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000260,"Zhiheng Pei, MD, PhD;Karen Nelson, PhD",Ian Fingerman,Division of Cancer Biology (DCB),15657344;17142109;15545159;9827707;16221805;17106919;11352068;16112578;16497592;17183312;11123195;11959090;16437628;15016918;19394334,"National Institutes of Health, Bethesda, MD, USA",2017-10-13,HMP,WGS;AMPLICON,Case-Control,Adenocarcinoma Of Esphophagus,110.0,575.0,http://gerd.med.nyu.edu/,,Adenocarcinoma Of Esophagus;Barrett&#39;s Esophagus;GERD,Adenocarcinoma Of Esophagus; Barrett's Esophagus; GERD; Adenocarcinoma of the Esophagus; Esophageal adenocarcinoma; Esophagus Adenocarcinoma
Genomic Regions Associated with Susceptibility to Barrett's Esophagus and    Esophageal Adenocarcinoma in African Americans: The Cross BETRNet    Admixture Study,Differences in rates of diseases between different populations with similar environments are presumed to be secondary to variability in population frequencies of disease causing alleles. Recently admixed populations such as  African Americans (AAs) provide a natural opportunity to identify disease-causing variants by examining the ancestry of long chromosomal haplotypes.,phs001454.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001454,"Amitabh Chak, MD, MS",Natalie Abrams,Division of Cancer Prevention (DCP),,U54 CA163060,2017-10-10,GRU-IRB,Array_SNP,Case Set,Adenocarcinoma Of Esophagus,28.0,28.0,,,Esophageal Neoplasms;Barrett Esophagus,Barrett Esophagus; Esophageal Neoplasms; Adenocarcinoma of the Esophagus; Esophageal adenocarcinoma; Esophagus Adenocarcinoma; adenocarcinoma - esophagus
Acquired Resistance to Immune Checkpoint Inhibitors in Lung Cancer,Mechanisms of acquired resistance to immune checkpoint inhibitors (ICIs) are poorly understood. The purpose of this study was to investigate whether alterations in genes encoding components of the HLA Class  I antigen processing and presentation machinery or interferon signaling pathways play a role in acquired resistance to PD-1 or PD-L1 antagonistic,phs001464.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001464,"Katerina Politi, PhD;Scott Gettinger, MD",Ian Fingerman,Division of Cancer Biology (DCB),29025772,"P50CA196530;P30CA016359;R01CA195720;F32CA210516;Stand Up to Cancer - Lung Cancer Translational Lung Dream Team Grant;U.S. Department of Defense, Lung Cancer Research Program Career Development Award: LC150383;Lung Cancer Research Foundation;Italian Association for Cancer Research;Leslie H. Warner Fellowship;The Diane and David Heller Foundation;The Beatrice Klienberg Neuwirth Research Program;Melissa Marottoli Hogan Foundation",2017-10-06,DS-LCTC-MDS,RNA-Seq;WXS,Cohort,"Carcinoma, Non-Small-Cell Lung",14.0,63.0,,B2M,,"Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell; NONSMALL CELL LUNG CANCER"
Post-Liver Transplant Recurrent Human Hepatocellular Carcinoma Study    (RHCCS),"The whole exome sequencing showed that HERC5 deletion and under-expression associates with shorter: time to tumor recurrence, progression-free, and overall survival in hepatocellular carcinoma (HCC) in two independent studies (p1  0.004, HR1 1.80; p2 0.018, HR2 3.31) totaling 286 HCC patients. Matched primary and recurrent tumors indicated a clonal selection advantage in",phs000782.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000782,"Brandon W. Higgs, PhD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),26653219,,2017-10-06,GRU-PUB-MDS,WXS;Seq_DNA_SNP_CNV,Longitudinal;Case-Control,"Carcinoma, Hepatocellular",16.0,46.0,,,Liver Transplantation;Organ Transplantation,"Adult Liver Cancer; Adult Liver Cancers; Cancer, Adult Liver; Cancers, Adult Liver; Carcinoma of Liver Cells; Carcinoma of the Liver Cells"
WGS of a Malignant GCT with Metabolic Response to Pazopanib,"We report one case study of a malignant granular cell tumor patient with metabolic response to pazopanib. In this study, we used whole-genome sequencing of the tumor with the matched  blood to characterize the somatic mutation profile in this tumor. This is the first reported whole-genome sequencing study of the rare malignant",phs000978.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000978,"Carl Morrison, MD, DVM",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),27148567,The Roswell Park Alliance Foundation,2017-10-02,GRU-PUB-NPU,WGS,Case-Control,Granular Cell Tumor,1.0,2.0,,,,Abrikosoff's granulous cell tumor; Abrikosoff's granulous cell tumour; Abrikosoff's tumor; Abrikosoff's tumour; Abrikosovâs tumor; Abrikosovâs tumour
